offspring1_id,offspring2_id
GOP001,GOP017
GOP004,GOP042
GOP007,GOP054
GOP007,GOP384
GOP357,GOP384
GOP353,GOP381
GOP362,GOP381
GOP002,GOP014
GOP002,GOP350
GOP002,GOP352
GOP014,GOP350
GOP354,GOP383
GOP014,GOP352
GOP350,GOP352
GOP001,GOP622
GOP007,GOP357
GOP353,GOP362
GOP001,GOP627
GOP001,GOP634
GOP054,GOP384
GOP017,GOP622
GOP017,GOP627
GOP017,GOP634
GOP022,GOP366
GOP006,GOP617
GOP007,GOP633
GOP357,GOP633
GOP030,GOP035
GOP361,GOP621
GOP002,GOP298
GOP014,GOP298
GOP353,GOP786
GOP030,GOP367
GOP035,GOP367
GOP033,GOP048
GOP033,GOP368
GOP048,GOP368
GOP038,GOP363
GOP046,GOP369
GOP362,GOP786
GOP054,GOP357
GOP046,GOP374
GOP369,GOP374
GOP051,GOP380
GOP364,GOP378
GOP364,GOP379
GOP364,GOP385
GOP378,GOP379
GOP378,GOP385
GOP379,GOP385
GOP721,GOP726
GOP697,GOP698
GOP697,GOP718
GOP697,GOP723
GOP697,GOP724
GOP698,GOP718
GOP698,GOP723
GOP054,GOP633
GOP384,GOP633
GOP034,GOP389
GOP698,GOP724
GOP036,GOP338
GOP377,GOP521
GOP381,GOP786
GOP721,GOP774
GOP726,GOP774
GOP277,GOP791
GOP267,GOP531
GOP718,GOP723
GOP718,GOP724
GOP723,GOP724
GOP277,GOP604
GOP738,GOP771
GOP716,GOP722
GOP730,GOP745
GOP748,GOP771
GOP121,GOP358
GOP114,GOP452
GOP141,GOP432
GOP735,GOP742
GOP141,GOP436
GOP141,GOP462
GOP298,GOP350
GOP298,GOP352
GOP173,GOP454
GOP173,GOP469
GOP337,GOP438
GOP735,GOP746
GOP736,GOP742
GOP736,GOP746
GOP742,GOP746
GOP738,GOP748
GOP622,GOP627
GOP346,GOP505
GOP347,GOP505
GOP622,GOP634
GOP685,GOP721
GOP685,GOP726
GOP686,GOP699
GOP627,GOP634
GOP756,GOP757
GOP756,GOP758
GOP685,GOP774
GOP448,GOP640
GOP756,GOP759
GOP757,GOP758
GOP757,GOP759
GOP447,GOP536
GOP435,GOP615
GOP758,GOP759
GOP346,GOP347
GOP683,GOP689
GOP391,GOP637
GOP406,GOP430
GOP394,GOP484
GOP432,GOP436
GOP422,GOP484
GOP403,GOP608
GOP099,GOP346
GOP432,GOP462
GOP436,GOP462
GOP454,GOP469
GOP433,GOP449
GOP433,GOP466
GOP449,GOP466
GOP437,GOP439
GOP443,GOP455
GOP445,GOP450
GOP458,GOP459
GOP230,GOP480
GOP394,GOP422
GOP083,GOP094
GOP086,GOP102
GOP086,GOP605
GOP086,GOP610
GOP086,GOP612
GOP102,GOP605
GOP099,GOP347
GOP099,GOP505
GOP102,GOP610
GOP102,GOP612
GOP605,GOP610
GOP605,GOP612
GOP610,GOP612
GOP607,GOP614